city,state
Alhambra,CA
Arcadia,CA
Artesia,CA
Avalon,CA
Azusa,CA
Baldwin Park,CA
Bell,CA
Bellflower,CA
Bell Gardens,CA
Beverly Hills,CA
Bradbury,CA
Burbank,CA
Calabasas,CA
Carson,CA
Cerritos,CA
Claremont,CA
Commerce,CA
Compton,CA
Covina,CA
Cudahy,CA
Culver City,CA
Diamond Bar,CA
Downey,CA
Duarte,CA
El Monte,CA
El Segundo,CA
Gardena,CA
Glendale,CA
Glendora,CA
Hawaiian Gardens,CA
Hawthorne,CA
Hermosa Beach,CA
Hidden Hills,CA
Huntington Park,CA
Industry,CA
Inglewood,CA
Irwindale,CA
La Cañada Flintridge,CA
La Habra Heights,CA
Lakewood,CA
La Mirada,CA
La Puente,CA
La Verne,CA
Lawndale,CA
Lomita,CA
Long Beach,CA
Los Angeles,CA
Lynwood,CA
Malibu,CA
